#bytes,#iterations,t_min[usec],t_max[usec],t_typical[usec],t_avg[usec],t_stdev[usec],99% percentile[usec],99.9% percentile[usec],type
2,1000,3.27,15.85,4.08,4.12,0.71,4.92,15.85,freeflow
4,1000,3.21,14.94,4.08,4.09,0.46,4.94,14.94,freeflow
8,1000,3.23,14.71,4.08,4.09,0.32,4.82,14.71,freeflow
16,1000,3.17,15.73,4.08,4.09,0.35,4.86,15.73,freeflow
32,1000,3.14,16.54,4.11,4.11,0.5,4.88,16.54,freeflow
64,1000,3.31,15.73,4.1,4.14,0.49,5.12,15.73,freeflow
128,1000,3.23,14.91,4.14,4.16,0.36,5.09,14.91,freeflow
256,1000,3.31,16.18,4.23,4.29,0.81,5.24,16.18,freeflow
512,1000,3.41,15.06,4.34,4.36,0.48,5.2,15.06,freeflow
1024,1000,3.68,16.56,4.55,4.57,0.65,5.52,16.56,freeflow
2048,1000,4.15,16.91,4.96,4.97,0.42,5.88,16.91,freeflow
4096,1000,4.29,16.86,5.25,5.27,0.6,6.19,16.86,freeflow
8192,1000,5.09,16.69,5.83,5.88,0.62,6.99,16.69,freeflow
16384,1000,6.3,17.33,7.08,7.12,0.44,8.2,17.33,freeflow
32768,1000,8.89,21.2,9.66,9.74,0.61,11.02,21.2,freeflow
65536,1000,14.28,27.16,14.97,15.05,0.59,15.96,27.16,freeflow
131072,1000,24.63,36.51,25.35,25.4,0.42,26.44,36.51,freeflow
262144,1000,45.36,58.12,46.1,46.17,0.63,47.22,58.12,freeflow
524288,1000,86.53,99.51,87.69,87.75,0.65,89.08,99.51,freeflow
1048576,1000,169.4,191.65,170.82,171.04,1.44,179.07,191.65,freeflow
2097152,1000,334.92,360.32,337.17,337.54,2.22,349.82,360.32,freeflow
4194304,1000,667.35,708.87,669.78,670.4,3.46,686.6,708.87,freeflow
8388608,1000,1325.87,1378.76,1329.84,1331.65,5.46,1350.49,1378.76,freeflow
2,1000,1.62,7.19,1.65,1.67,0.21,1.89,7.19,host
4,1000,1.62,2.12,1.65,1.66,0.03,1.79,2.12,host
8,1000,1.61,1.88,1.65,1.66,0.03,1.79,1.88,host
16,1000,1.62,1.85,1.65,1.66,0.03,1.78,1.85,host
32,1000,1.62,6.76,1.66,1.67,0.16,1.8,6.76,host
64,1000,1.65,5.99,1.68,1.69,0.04,1.82,5.99,host
128,1000,1.75,2.06,1.78,1.8,0.05,1.99,2.06,host
256,1000,1.83,2.28,1.87,1.88,0.05,2.13,2.28,host
512,1000,1.96,6.45,1.99,2.01,0.08,2.25,6.45,host
1024,1000,2.19,5.93,2.23,2.24,0.04,2.41,5.93,host
2048,1000,2.66,7.61,2.7,2.72,0.14,2.95,7.61,host
4096,1000,3,6.85,3.04,3.05,0.08,3.27,6.85,host
8192,1000,3.64,8.82,3.69,3.75,0.16,4.26,8.82,host
16384,1000,4.92,7.51,4.98,5.06,0.16,5.43,7.51,host
32768,1000,7.47,8.8,7.63,7.66,0.16,8.1,8.8,host
65536,1000,12.71,14.59,12.89,12.9,0.09,13.2,14.59,host
131072,1000,22.96,23.76,23.2,23.21,0.12,23.53,23.76,host
262144,1000,43.46,44.44,43.81,43.82,0.17,44.26,44.44,host
524288,1000,84.48,85.84,84.93,84.94,0.22,85.5,85.84,host
1048576,1000,166.46,196.01,167.28,169.33,5.63,188.44,196.01,host
2097152,1000,330.58,349.08,331.91,331.92,0.58,333.25,349.08,host
4194304,1000,659.02,698.86,661.61,662.92,4.15,680.07,698.86,host
8388608,1000,1317.19,1365.08,1320.38,1321.83,4.98,1338.9,1365.08,host