#bytes,#iterations,BW peak[MB/sec],BW average[MB/sec],MsgRate[Mpps],type
2,500,8.31,5.87,3.078737,host
4,500,10.83,10.62,2.783012,host
8,500,38.44,38.24,5.012575,host
16,500,76.7,76.42,5.008245,host
32,500,150.36,149.8,4.908701,host
64,500,301.47,299.98,4.914889,host
128,500,566.48,563.59,4.61695,host
256,500,869.95,866.97,3.551121,host
512,500,1003.44,1002.74,2.05362,host
1024,500,1088.04,1087.97,1.114082,host
2048,500,1092.31,1092.24,0.559225,host
4096,500,1098.16,1098.02,0.281093,host
8192,500,1100.87,1100.86,0.14091,host
16384,500,1102.35,1102.31,0.070548,host
32768,500,1103.15,1103.14,0.0353,host
65536,500,1103.46,1103.46,0.017655,host
131072,500,1103.59,1103.59,0.008829,host
262144,500,1103.69,1103.69,0.004415,host
524288,500,1103.73,1103.73,0.002207,host
1048576,500,1103.75,1103.75,0.001104,host
2097152,500,1103.78,1103.78,0.000552,host
4194304,500,1103.81,1103.81,0.000276,host
8388608,500,1103.79,1103.79,0.000138,host
2,500,1.94,1.84,0.963535,freeflow
4,500,3.88,3.87,1.013294,freeflow
8,500,7.81,7.66,1.004148,freeflow
16,500,15.38,15.13,0.991541,freeflow
32,500,30.71,29.91,0.97999,freeflow
64,500,61.38,60.56,0.992206,freeflow
128,500,119.99,119.18,0.976356,freeflow
256,500,245.29,240.42,0.984768,freeflow
512,500,489.59,485.01,0.993306,freeflow
1024,500,971.37,958.54,0.981544,freeflow
2048,500,1091.63,1090.98,0.558583,freeflow
4096,500,1097.02,1096.97,0.280825,freeflow
8192,500,1100.34,1100.33,0.140843,freeflow
16384,500,1102.1,1102.07,0.070533,freeflow
32768,500,1102.9,1102.89,0.035292,freeflow
65536,500,1103.29,1103.29,0.017653,freeflow
131072,500,1103.51,1103.51,0.008828,freeflow
262144,500,1103.61,1103.61,0.004414,freeflow
524288,500,1103.65,1103.65,0.002207,freeflow
1048576,500,1103.69,1103.69,0.001104,freeflow
2097152,500,1103.69,1103.69,0.000552,freeflow
4194304,500,1103.7,1103.7,0.000276,freeflow
8388608,500,1103.71,1103.71,0.000138,freeflow